,Mass (g),Motor mass (g),CG location (cm),Reference length (cm)
426,31820.0,4757.0,334.985,15.7
427,31820.0,4757.0,334.985,15.7
428,31820.0,4757.0,334.985,15.7
429,31820.0,4757.0,334.985,15.7
430,31820.0,4757.0,334.985,15.7
431,31820.0,4757.0,334.985,15.7
432,31820.0,4757.0,334.985,15.7
433,31820.0,4757.0,334.985,15.7
434,31820.0,4757.0,334.985,15.7
435,31820.0,4757.0,334.985,15.7
436,31820.0,4757.0,334.985,15.7
437,31820.0,4757.0,334.985,15.7
438,31820.0,4757.0,334.985,15.7
439,31820.0,4757.0,334.985,15.7
440,31820.0,4757.0,334.985,15.7
441,31820.0,4757.0,334.985,15.7
442,31820.0,4757.0,334.985,15.7
443,31820.0,4757.0,334.985,15.7
444,31820.0,4757.0,334.985,15.7
445,31820.0,4757.0,334.985,15.7
446,31820.0,4757.0,334.985,15.7
447,31820.0,4757.0,334.985,15.7
448,31820.0,4757.0,334.985,15.7
449,31820.0,4757.0,334.985,15.7
450,31820.0,4757.0,334.985,15.7
451,31820.0,4757.0,334.985,15.7
452,31820.0,4757.0,334.985,15.7
453,31820.0,4757.0,334.985,15.7
454,31820.0,4757.0,334.985,15.7
455,31820.0,4757.0,334.985,15.7
456,31820.0,4757.0,334.985,15.7
457,31820.0,4757.0,334.985,15.7
458,31820.0,4757.0,334.985,15.7
459,31820.0,4757.0,334.985,15.7
460,31820.0,4757.0,334.985,15.7
461,31820.0,4757.0,334.985,15.7
462,31820.0,4757.0,334.985,15.7
463,31820.0,4757.0,334.985,15.7
464,31820.0,4757.0,334.985,15.7
465,31820.0,4757.0,334.985,15.7
466,31820.0,4757.0,334.985,15.7
467,31820.0,4757.0,334.985,15.7
468,31820.0,4757.0,334.985,15.7
469,31820.0,4757.0,334.985,15.7
470,31820.0,4757.0,334.985,15.7
471,31820.0,4757.0,334.985,15.7
472,31820.0,4757.0,334.985,15.7
473,31820.0,4757.0,334.985,15.7
474,31820.0,4757.0,334.985,15.7
475,31820.0,4757.0,334.985,15.7
476,31820.0,4757.0,334.985,15.7
477,31820.0,4757.0,334.985,15.7
478,31820.0,4757.0,334.985,15.7
479,31820.0,4757.0,334.985,15.7
480,31820.0,4757.0,334.985,15.7
481,31820.0,4757.0,334.985,15.7
482,31820.0,4757.0,334.985,15.7
483,31820.0,4757.0,334.985,15.7
484,31820.0,4757.0,334.985,15.7
485,31820.0,4757.0,334.985,15.7
486,31820.0,4757.0,334.985,15.7
487,31820.0,4757.0,334.985,15.7
488,31820.0,4757.0,334.985,15.7
489,31820.0,4757.0,334.985,15.7
490,31820.0,4757.0,334.985,15.7
491,31820.0,4757.0,334.985,15.7
492,31820.0,4757.0,334.985,15.7
493,31820.0,4757.0,334.985,15.7
494,31820.0,4757.0,334.985,15.7
495,31820.0,4757.0,334.985,15.7
496,31820.0,4757.0,334.985,15.7
497,31820.0,4757.0,334.985,15.7
498,31820.0,4757.0,334.985,15.7
499,31820.0,4757.0,334.985,15.7
500,31820.0,4757.0,334.985,15.7
501,31820.0,4757.0,334.985,15.7
502,31820.0,4757.0,334.985,15.7
503,31820.0,4757.0,334.985,15.7
504,31820.0,4757.0,334.985,15.7
505,31820.0,4757.0,334.985,15.7
506,31820.0,4757.0,334.985,15.7
507,31820.0,4757.0,334.985,15.7
508,31820.0,4757.0,334.985,15.7
509,31820.0,4757.0,334.985,15.7
510,31820.0,4757.0,334.985,15.7
511,31820.0,4757.0,334.985,15.7
512,31820.0,4757.0,334.985,15.7
513,31820.0,4757.0,334.985,15.7
514,31820.0,4757.0,334.985,15.7
515,31820.0,4757.0,334.985,15.7
516,31820.0,4757.0,334.985,15.7
517,31820.0,4757.0,334.985,15.7
518,31820.0,4757.0,334.985,15.7
519,31820.0,4757.0,334.985,15.7
520,31820.0,4757.0,334.985,15.7
521,31820.0,4757.0,334.985,15.7
522,31820.0,4757.0,334.985,15.7
523,31820.0,4757.0,334.985,15.7
524,31820.0,4757.0,334.985,15.7
525,31820.0,4757.0,334.985,15.7
526,31820.0,4757.0,334.985,15.7
527,31820.0,4757.0,334.985,15.7
528,31820.0,4757.0,334.985,15.7
529,31820.0,4757.0,334.985,15.7
530,31820.0,4757.0,334.985,15.7
531,31820.0,4757.0,334.985,15.7
532,31820.0,4757.0,334.985,15.7
533,31820.0,4757.0,334.985,15.7
534,31820.0,4757.0,334.985,15.7
535,31820.0,4757.0,334.985,15.7
536,31820.0,4757.0,334.985,15.7
537,31820.0,4757.0,334.985,15.7
538,31820.0,4757.0,334.985,15.7
539,31820.0,4757.0,334.985,15.7
540,31820.0,4757.0,334.985,15.7
541,31820.0,4757.0,334.985,15.7
542,31820.0,4757.0,334.985,15.7
543,31820.0,4757.0,334.985,15.7
544,31820.0,4757.0,334.985,15.7
545,31820.0,4757.0,334.985,15.7
546,31820.0,4757.0,334.985,15.7
547,31820.0,4757.0,334.985,15.7
548,31820.0,4757.0,334.985,15.7
549,31820.0,4757.0,334.985,15.7
550,31820.0,4757.0,334.985,15.7
551,31820.0,4757.0,334.985,15.7
552,31820.0,4757.0,334.985,15.7
553,31820.0,4757.0,334.985,15.7
554,31820.0,4757.0,334.985,15.7
555,31820.0,4757.0,334.985,15.7
556,31820.0,4757.0,,
557,31820.0,4757.0,,
558,31820.0,4757.0,,
559,31820.0,4757.0,,
560,31820.0,4757.0,,
561,31820.0,4757.0,,
562,31820.0,4757.0,,
563,31820.0,4757.0,,
564,31820.0,4757.0,,
565,31820.0,4757.0,,
566,31820.0,4757.0,,
567,31820.0,4757.0,,
568,31820.0,4757.0,,
569,31820.0,4757.0,,
570,31820.0,4757.0,,
571,31820.0,4757.0,,
572,31820.0,4757.0,,
573,31820.0,4757.0,,
574,31820.0,4757.0,,
575,31820.0,4757.0,,
576,31820.0,4757.0,,
577,31820.0,4757.0,,
578,31820.0,4757.0,,
579,31820.0,4757.0,,
580,31820.0,4757.0,,
581,31820.0,4757.0,,
582,31820.0,4757.0,,
583,31820.0,4757.0,,
584,31820.0,4757.0,,
585,31820.0,4757.0,,
586,31820.0,4757.0,,
587,31820.0,4757.0,,
588,31820.0,4757.0,,
589,31820.0,4757.0,,
590,31820.0,4757.0,,
591,31820.0,4757.0,,
592,31820.0,4757.0,,
593,31820.0,4757.0,,
594,31820.0,4757.0,,
595,31820.0,4757.0,,
596,31820.0,4757.0,,
597,31820.0,4757.0,,
598,31820.0,4757.0,,
599,31820.0,4757.0,,
600,31820.0,4757.0,,
601,31820.0,4757.0,,
602,31820.0,4757.0,,
603,31820.0,4757.0,,
604,31820.0,4757.0,,
605,31820.0,4757.0,,
606,31820.0,4757.0,,
607,31820.0,4757.0,,
608,31820.0,4757.0,,
609,31820.0,4757.0,,
610,31820.0,4757.0,,
611,31820.0,4757.0,,
612,31820.0,4757.0,,
613,31820.0,4757.0,,
614,31820.0,4757.0,,
615,31820.0,4757.0,,
616,31820.0,4757.0,,
617,31820.0,4757.0,,
618,31820.0,4757.0,,
619,31820.0,4757.0,,
620,31820.0,4757.0,,
621,31820.0,4757.0,,
622,31820.0,4757.0,,
623,31820.0,4757.0,,
624,31820.0,4757.0,,
625,31820.0,4757.0,,
626,31820.0,4757.0,,
627,31820.0,4757.0,,
628,31820.0,4757.0,,
629,31820.0,4757.0,,
630,31820.0,4757.0,,
631,31820.0,4757.0,,
632,31820.0,4757.0,,
633,31820.0,4757.0,,
634,31820.0,4757.0,,
635,31820.0,4757.0,,
636,31820.0,4757.0,,
637,31820.0,4757.0,,
638,31820.0,4757.0,,
639,31820.0,4757.0,,
640,31820.0,4757.0,,
641,31820.0,4757.0,,
642,31820.0,4757.0,,
643,31820.0,4757.0,,
644,31820.0,4757.0,,
645,31820.0,4757.0,,
646,31820.0,4757.0,,
647,31820.0,4757.0,,
648,31820.0,4757.0,,
649,31820.0,4757.0,,
650,31820.0,4757.0,,
651,31820.0,4757.0,,
652,31820.0,4757.0,,
653,31820.0,4757.0,,
654,31820.0,4757.0,,
655,31820.0,4757.0,,
656,31820.0,4757.0,,
657,31820.0,4757.0,,
658,31820.0,4757.0,,
659,31820.0,4757.0,,
660,31820.0,4757.0,,
661,31820.0,4757.0,,
662,31820.0,4757.0,,
663,31820.0,4757.0,,
664,31820.0,4757.0,,
665,31820.0,4757.0,,
666,31820.0,4757.0,,
667,31820.0,4757.0,,
668,31820.0,4757.0,,
669,31820.0,4757.0,,
670,31820.0,4757.0,,
671,31820.0,4757.0,,
672,31820.0,4757.0,,
673,31820.0,4757.0,,
674,31820.0,4757.0,,
675,31820.0,4757.0,,
676,31820.0,4757.0,,
677,31820.0,4757.0,,
678,31820.0,4757.0,,
