Mach Number,Alpha (deg),Protuberance (%),CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CN Total,CP Total
0.8,8.0,0.0,0.678,0.641,0.553,0.516,0.935,85.95
0.8,8.0,1.0,0.934,0.897,0.812,0.775,0.935,85.95
0.81,6.0,0.0,0.625,0.588,0.555,0.518,0.701,85.95
0.81,6.0,1.0,0.88,0.843,0.811,0.774,0.701,85.95
0.81,8.0,0.0,0.684,0.647,0.56,0.522,0.935,85.95
0.81,8.0,1.0,0.941,0.904,0.818,0.781,0.935,85.95
0.82,6.0,0.0,0.632,0.595,0.562,0.524,0.701,85.95
0.82,6.0,1.0,0.887,0.85,0.818,0.781,0.701,85.95
0.82,8.0,0.0,0.691,0.654,0.567,0.529,0.935,85.95
0.82,8.0,1.0,0.947,0.91,0.825,0.787,0.935,85.95
0.83,6.0,0.0,0.639,0.601,0.569,0.53,0.701,85.95
0.83,6.0,1.0,0.894,0.856,0.825,0.787,0.701,85.95
0.83,8.0,0.0,0.698,0.66,0.573,0.535,0.935,85.95
0.83,8.0,1.0,0.954,0.916,0.832,0.794,0.935,85.95
0.84,6.0,0.0,0.645,0.607,0.575,0.537,0.701,85.95
0.84,6.0,1.0,0.9,0.862,0.832,0.793,0.701,85.95
0.84,8.0,0.0,0.705,0.666,0.58,0.541,0.935,85.95
0.84,8.0,1.0,0.961,0.922,0.839,0.8,0.935,85.95
0.85,6.0,0.0,0.652,0.613,0.582,0.543,0.701,85.95
0.85,6.0,1.0,0.907,0.868,0.838,0.799,0.701,85.95
0.85,8.0,0.0,0.711,0.672,0.587,0.548,0.935,85.95
0.85,8.0,1.0,0.968,0.929,0.846,0.806,0.935,85.95
0.86,6.0,0.0,0.659,0.62,0.589,0.549,0.701,85.95
0.86,6.0,1.0,0.914,0.875,0.845,0.806,0.701,85.95
0.86,8.0,0.0,0.718,0.679,0.594,0.554,0.935,85.95
0.86,8.0,1.0,0.974,0.935,0.852,0.813,0.935,85.95
0.87,6.0,0.0,0.666,0.626,0.596,0.556,0.701,85.95
0.87,6.0,1.0,0.921,0.881,0.852,0.812,0.701,85.95
0.87,8.0,0.0,0.725,0.685,0.601,0.56,0.935,85.95
0.87,8.0,1.0,0.981,0.941,0.859,0.819,0.935,85.95
0.88,6.0,0.0,0.672,0.632,0.602,0.562,0.701,85.95
0.88,6.0,1.0,0.927,0.887,0.859,0.818,0.701,85.95
0.88,8.0,0.0,0.732,0.691,0.608,0.567,0.935,85.95
0.88,8.0,1.0,0.988,0.947,0.866,0.825,0.935,85.95
0.89,6.0,0.0,0.679,0.638,0.609,0.568,0.701,85.95
0.89,6.0,1.0,0.934,0.893,0.866,0.824,0.701,85.95
0.89,8.0,0.0,0.738,0.697,0.614,0.573,0.935,85.95
0.89,8.0,1.0,0.995,0.954,0.873,0.832,0.935,85.95
0.9,6.0,0.0,0.686,0.644,0.616,0.574,0.701,85.95
0.9,6.0,1.0,0.941,0.899,0.872,0.831,0.701,85.95
0.9,8.0,0.0,0.745,0.704,0.621,0.579,0.935,85.95
0.9,8.0,1.0,1.001,0.96,0.88,0.838,0.935,85.95
0.91,6.0,0.0,0.693,0.652,0.62,0.578,0.734,85.895
0.91,6.0,1.0,0.95,0.908,0.878,0.836,0.734,85.895
0.91,8.0,0.0,0.756,0.714,0.625,0.583,0.98,85.875
0.91,8.0,1.0,1.014,0.972,0.886,0.844,0.98,85.875
0.92,6.0,0.0,0.709,0.667,0.633,0.59,0.767,85.841
0.92,6.0,1.0,0.971,0.929,0.896,0.853,0.767,85.841
0.92,8.0,0.0,0.775,0.732,0.638,0.595,1.026,85.8
0.92,8.0,1.0,1.038,0.995,0.904,0.861,1.026,85.8
0.93,6.0,0.0,0.727,0.683,0.647,0.603,0.799,85.786
0.93,6.0,1.0,0.997,0.953,0.919,0.874,0.799,85.786
0.93,8.0,0.0,0.796,0.751,0.653,0.608,1.071,85.726
